Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,_version:1,_order:23,Allow decimals,Normal high,Normal low
146f3189-5027-4b7a-a491-d1ae4778f246,,CCC,CCC,CCC,Misc,N/A,,,,,
7c5ba9c8-dede-4562-ad3a-03ff8b0e3dfe,,Envelope,Envelope,Envelope,Misc,N/A,,,,,
dc3f47b6-676e-42fe-804a-bc29f0fe2567,,PI,PI,PI,Misc,N/A,,,,,
c7449c76-50ce-4971-a1ba-45e721d96d4d,,SI (Iridectomy),SI,SI,Misc,N/A,,,,,
4076104b-c2bc-4d4f-a447-bee41306c7c3,,ST,ST,ST,Misc,N/A,,,,,
4382051b-bff0-4746-8777-674923b3da56,,Xylocaine,Xylocaine,Xylocaine,Misc,N/A,,,,,
36fad84c-e081-423a-bd48-0be159f6a539,,Trypanblue,Trypanblue,Trypanblue,Misc,N/A,,,,,
cf73b2b3-4dfd-40a7-afd5-b74e7386d525,,Pilocarpine for cataract surgery,Pilocarpine,Pilocarpine,Misc,N/A,,,,,
03468a20-cc38-4537-a18d-18bf5f48fbbc,,Antibiotic,Antibiotic,Antibiotic,Misc,N/A,,,,,
6a7565fc-c279-42bc-8c18-71faa4ef8247,,Triamcinolone for cataract surgery,Triamcinolone,Triamcinolone,Misc,N/A,,,,,
4d3f248f-e881-4b46-8aa1-b5fa5af3253b,,CTR,CTR,CTR,Misc,N/A,,,,,
3ba0680e-9c1a-4d4a-835e-d94833efbd79,,Iris hooks,Iris hooks,Iris hooks,Misc,N/A,,,,,
01abe097-2e2c-41aa-95a8-e9564cc383ac,,Capsule hooks,Capsule hooks,Capsule hooks,Misc,N/A,,,,,
de719617-2efe-4bfa-812e-0a2156f1126f,,Modified CTR,Modified CTR,Modified CTR,Misc,N/A,,,,,
cf9c0edc-1078-41cc-9445-c3bb7dd4f343,,Sutures,Sutures,Sutures,Question,Coded,,Yes;No,,,
ef27dd12-ab56-45a8-a43f-febebb9ce7cf,,"If yes, material","If yes, material","If yes, material",Question,Text,,,,,
53a8d87b-f6be-4a92-a4c2-31ea23c448d8,,Premature Entry,Premature Entry,Premature Entry,Misc,N/A,,,,,
ee91956e-de56-4b12-8c4d-06ff5c5b9357,,Rhexis tear,Rhexis tear,Rhexis tear,Misc,N/A,,,,,
de70d0bc-eda0-4644-9586-da090f955fd3,,PC Rent,PC Rent,PC Rent,Misc,N/A,,,,,
166ae59e-5933-4598-b53c-637331200167,,DM detachment,DM detachment,DM detachment,Misc,N/A,,,,,
97ef80df-c9e3-4dbf-9baa-131f23b26247,,Iridodialysis (>3hrs),Iridodialysis (>3hrs),Iridodialysis (>3hrs),Misc,N/A,,,,,
6806f695-ddb6-4b8e-bce5-aa482fa9663b,,Drop (Nucleus/ Epinucleus/IOL),Drop (Nucleus/ Epinucleus/IOL),Drop (Nucleus/ Epinucleus/IOL),Misc,N/A,,,,,
f13629f2-47a1-4077-a60d-aa13dc188f6a,,Zonular Dialysis,Zonular Dialysis,Zonular Dialysis,Misc,N/A,,,,,
7c95ee47-b69e-4e2c-95ed-fc7ceb34fa17,,Vitreous Disturbance,Vitreous Disturbance,Vitreous Disturbance,Misc,N/A,,,,,
f094d80c-da03-482b-bd81-5e5350f470dc,,Failure to implant,Failure to implant,Failure to implant,Misc,N/A,,,,,
83a6c755-05f7-4f86-b796-7ce4745ecacd,,IOL damage / exchange,IOL damage / exchange,IOL damage / exchange,Misc,N/A,,,,,
e65540b5-176a-43bb-b7fa-09faaadb9340,,Nucleus Delivery,Nucleus Delivery,Nucleus Delivery,Misc,N/A,,,,,
8dbdc07c-4efb-4a9a-9ebd-e264ff56fbe5,,Emulsification,Emulsification,Emulsification,Misc,N/A,,,,,
d7cf1e60-1360-4806-a573-ec77e3abbcd2,,I/A IOL Implantation,I/A IOL Implantation,I/A IOL Implantation,Misc,N/A,,,,,
d7efcd4a-e829-4a0c-bffb-a80cb147771c,,Automated,Automated,Automated,Misc,N/A,,,,,
fa95e39d-17c2-4bd9-957e-fb09bbd5de13,,Weck sponge,Weck sponge,Weck sponge,Misc,N/A,,,,,
