Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,_version:1,_order:23,units
bd5c2c24-4034-495b-b573-bca5a00f0b55,,Surgical site cleaned with antiseptic,Surgical site cleaned with antiseptic,Surgical site cleaned with antiseptic,Question,Boolean,,,,,
7bfe4a0d-75fc-4223-9f54-71505f0597fb,,Sterile draping applied,Sterile draping applied,Sterile draping applied,Question,Boolean,,,,,
9107875b-28f5-4728-b46e-9bd3bc827a59,,Autoclave indicator checked,Autoclave indicator checked,Autoclave indicator checked,Question,Boolean,,,,,
85c6c2d0-2ffc-4487-bc9a-29583da06995,,Sterile field maintained,Sterile field maintained,Sterile field maintained,Question,Boolean,,,,,
cef0419b-a8b4-4b32-841d-42faa68a813a,,Sterility maintained,Sterility maintained,Sterility maintained,Question,Boolean,,,,,
70a95fd9-c5e5-40b1-a352-4681c4808c30,,Patient monitored continuously,Patient monitored continuously,Patient monitored continuously,Question,Boolean,,,,,
27f00d0f-2b5b-4b3c-a198-d05b0fbe55aa,,Complication noted,Complication noted,Complication noted,Question,Boolean,,,,,
45112ae0-ed06-41d6-876b-bbf5f7e57253,,Eye cleaned and dressed,Eye cleaned and dressed,Eye cleaned and dressed,Question,Boolean,,,,,
3ea717f7-a3e5-44dd-91bd-f34a75532210,,Post-operative medications given,Post-operative medications given,Post-operative medications given,Question,Boolean,,,,,
c259704d-78ad-4672-b476-b682935d634f,,Post-operative instructions given,Post-operative instructions given,Post-operative instructions given,Question,Boolean,,,,,
9cd5af27-c694-410d-9d4c-2f25d18d2d13,,Procedure note completed,Procedure note completed,Procedure note completed,Question,Boolean,,,,,
be4c8c4a-f7ed-44da-b1f6-7a5a0e51fbc2,,Surgeon signature,Surgeon signature,Surgeon signature,Question,Boolean,,,,,
c095a717-925f-4235-bfb2-18f534e52c39,,Assistant signature,Assistant signature,Assistant signature,Question,Boolean,,,,,
4272c16f-19ef-434e-b842-70c303f155cb,,Time procedure started and finished,Time procedure started and finished,Time procedure started and finished,Question,Boolean,,,,,
2b3e6a3d-0920-421f-9b8e-36c6470df567,,Reading difficulty,Reading difficulty,Reading difficulty,Misc,N/A,,,,,
0489cc52-e3fe-4c1f-8fe5-7aa6ee1b3103,,Distance vision difficulty,Distance vision difficulty,Distance vision difficulty,Misc,N/A,,,,,
1ddf77f8-ec8c-48a1-8c9b-a4dd6785d0d0,,Face recognition difficulty,Face recognition difficulty,Face recognition difficulty,Misc,N/A,,,,,
4d350abe-db6c-4cea-8c19-4857c482f031,,Mobility difficulty,Mobility difficulty,Mobility difficulty,Misc,N/A,,,,,
2f390f92-bd89-4903-a850-bdd5d44ce2f8,,Glare/photophobia,Glare/photophobia,Glare/photophobia,Misc,N/A,,,,,
2d826f35-26df-4439-b0be-f94bff4f2f81,,Night Vision Difficulty,Night Vision Difficulty,Night Vision Difficulty,Misc,N/A,,,,,
3620e042-84b2-4af4-8254-8206adcf131d,,"Chief Complaint, Low Vision","Chief Complaint, Low Vision","Chief Complaint, Low Vision",Question,Coded,,Reading difficulty;Distance vision difficulty;Face recognition difficulty;Mobility difficulty;Glare/photophobia;Night Vision Difficulty;Other,,,
bd64ee78-e7c6-4a9a-86af-93152401d29b,,"Other Chief Complaint, Low Vision","Other Chief Complaint, Low Vision","Other Chief Complaint, Low Vision",Question,Text,,,,,
44047058-df4e-4c38-ac22-582a638bbcd1,,Read books/newspapers,Read books/newspapers,Read books/newspapers,Misc,N/A,,,,,
ce170021-8054-42d9-9d75-81942eb81b03,,Write,Write,Write,Misc,N/A,,,,,
41b90038-87fc-4992-8db3-b422624697fd,,Watch TV,Watch TV,Watch TV,Misc,N/A,,,,,
d8b8222c-7bbc-4a8b-bf1b-45b602d92103,,Use smartphone,Use smartphone,Use smartphone,Misc,N/A,,,,,
73c91192-9000-4e4e-a74c-d9d03db0c9e7,,School/work/tasks,School/work/tasks,School/work/tasks,Misc,N/A,,,,,
975ddcc2-d9f6-4708-bc35-da62a9edf091,,Independent mobility,Independent mobility,Independent mobility,Misc,N/A,,,,,
09667e15-a5a9-4e42-b460-e8c05e8124b0,,Functional Goals,Functional Goals,Functional Goals,Question,Coded,,Read books/newspapers;Write;Watch TV;Use smartphone;School/work/tasks;Independent mobility;Other,,,
a236f028-3061-44d9-ba90-50f2328fb85c,,Other Functional Goals,Other Functional Goals,Other Functional Goals,Question,Text,,,,,
583caff4-cfda-4531-9f4a-5a0ac098d675,,Primary Diagnosis,Primary Diagnosis,Primary Diagnosis,Question,Coded,,Age Related Macular Degeneration;Glaucoma;Diabetic retinopathy;Retinitis Pigmentosa;Optic Atrophy;Other,,,
c2588bf3-50af-4991-9ed9-de11c67c895c,,Other Primary Diagnosis,Other Primary Diagnosis,Other Primary Diagnosis,Question,Text,,,,,
c848d142-ab1e-43a5-b72d-f7d08a0e4639,,Vision loss duration,Vision loss duration,Vision loss duration,Questions,Numeric,,,,,months
