Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,_version:1,_order:24,units
36927bb2-b662-4c21-9a74-933c01589d40,,"K1, Right Eye, Contact Lens","K1, Right Eye, Contact Lens","K1, Right Eye, Contact Lens",Question,Numeric,,,,,D/mm
f02a99bf-15c3-40ed-b69a-7d448214e41a,,"K1, Left Eye, Contact Lens","K1, Left Eye, Contact Lens","K1, Left Eye, Contact Lens",Question,Numeric,,,,,D/mm
c52d67b0-d386-44ce-80db-7feb22b75288,,"K2, Right Eye, Contact Lens","K2, Right Eye, Contact Lens","K2, Right Eye, Contact Lens",Question,Numeric,,,,,
7129bdbd-438f-4497-ba47-e341cdcf4806,,"K2, Left Eye, Contact Lens","K2, Left Eye, Contact Lens","K2, Left Eye, Contact Lens",Question,Numeric,,,,,
cfc6b704-7af7-4c0b-be6c-b52dd59205cf,,"Axis, Right Eye, Contact Lens","Axis, Right Eye, Contact Lens","Axis, Right Eye, Contact Lens",Question,Numeric,,,,,
9aebc24e-a28f-4a4d-8c8d-cad217c8d8d5,,"Axis, Left Eye, Contact Lens","Axis, Left Eye, Contact Lens","Axis, Left Eye, Contact Lens",Question,Numeric,,,,,
ccda050b-d13d-46fb-b8c3-2fccc8258519,,Steep axis,Steep axis,Steep axis,Misc,N/A,,,,,
8e016f17-d538-4a6d-9b60-14e181007cf2,,Steep,Steep,Steep,Misc,N/A,,,,,
288046ba-0f35-487a-bd48-ea52463e5979,,Corneal shape,Corneal shape,Corneal shape,Question,Coded,,Normal;Steep;Flat;Irregular,,,
48e19c4f-e95f-4972-ab51-d16c1c98f420,,TBUT Right Eye,TBUT Right Eye,TBUT Right Eye,Question,Numeric,,,,,seconds
a84bffbe-01c3-49c4-b582-5f343aea34cb,,TBUT Left Eye,TBUT Left Eye,TBUT Left Eye,Question,Numeric,,,,,seconds
ed12225e-134c-4698-aced-6c3c773a197b,,Schirmer Right Eye,Schirmer Right Eye,Schirmer Right Eye,Question,Numeric,,,,,mm
9869dd04-0d4a-441b-8c8f-c60580babb3c,,Schirmer Left Eye,Schirmer Left Eye,Schirmer Left Eye,Question,Numeric,,,,,mm
79cbef71-7ef9-49d1-aed1-1c6e50e75713,,Tear quality Right Eye,Tear quality Right Eye,Tear quality Right Eye,Question,Coded,,Normal;Reduced;Poor,,,
