Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,units,Complex data handler,_version:1,_order:27
4f41350f-8a9c-43e5-8fa6-a826f5d63ffb,,"Vitreous Examination, Right Eye, Normal",,The status of normal vitreous,Question,Coded,Clear;No cells;No opacity;No hemorrhage,,,,
af0df753-6d2a-4a36-8bc5-99daf017f7c4,,"Vitreous Examination, Left Eye, Abnormal",,The status of abnormal vitreous,Question,Coded,Vitreous Cells;Snowball;Vitreous Degeneration;asteroid hyalosis;Vitreous Hemorrhage;Vitreous opacity;Foreign body;Other,,,,
e71a36be-eb96-451b-a86c-d6810a0e4b0a,,"Vitreous Examination, Right Eye, Abnormal",,The status of abnormal vitreous,Question,Coded,Vitreous Cells;Snowball;Vitreous Degeneration;asteroid hyalosis;Vitreous Hemorrhage;Vitreous opacity;Foreign body;Other,,,,
0b7be866-b3f4-4b12-abd5-d92be1f4bbb3,,Iris prolapse,Iris prolapse,Iris prolapse,Misc,N/A,,,,,
f5327a32-941d-4da1-9a79-bd7fbcbd91ff,,Pseudoexfoliation,Pseudoexfoliation,Pseudoexfoliation,Misc,N/A,,,,,
3a7295c0-465e-4fb4-9e53-b0a29c5c8099,,NS I,NS I,NS I,Misc,N/A,,,,,
ccfefe5e-d010-4485-bb00-adfd969473b3,,NS II,NS II,NS II,Misc,N/A,,,,,
2a3659be-acd2-40f5-826b-e61f12b71b81,,NS III,NS III,NS III,Misc,N/A,,,,,
6795d9df-96e6-432d-90d7-0708548002b3,,NS IV,NS IV,NS IV,Misc,N/A,,,,,
a84a26a9-5081-4cbf-b59d-e291c1b2fe85,,PSCC,PSCC,PSCC,Misc,N/A,,,,,
66e23a24-2693-49b9-8267-0630f34bf99d,,PPC,PPC,PPC,Misc,N/A,,,,,
0aa80044-464f-454c-b8ae-329bbd18da64,,Cortical,Cortical,Cortical,Misc,N/A,,,,,
19713557-7811-4820-9038-f05d3a139124,,Mature,Mature,Mature,Misc,N/A,,,,,
814646d3-679c-4283-8596-548383b50804,,Penetrating,Penetrating,Penetrating,Misc,N/A,,,,,
5092d2d2-1720-45b1-927a-978127918846,,Traumatic,Traumatic,Traumatic,Misc,N/A,,,,,
06680d4c-5381-418a-98d1-2574c240880b,,Phacolytic,Phacolytic,Phacolytic,Misc,N/A,,,,,
a3b5224a-41a6-45d3-a932-559986028571,,Hypermature,Hypermature,Hypermature,Misc,N/A,,,,,
c7d4613b-8203-4c3c-860e-01534c327804,,Complicated,Complicated,Complicated,Misc,N/A,,,,,
9b597970-116f-47b6-8021-b1811476824a,,Brown,Brown,Brown,Misc,N/A,,,,,
0e1e97ab-41fe-4af6-954d-b43c4fc617dd,,"Complaints, History",Complaints,Patient's presenting complaints,Question,Coded,Itching sensation;Burning sensation;Watery eye;Trauma (complaint);Headache;Photophobia;Blurred vision;Visual reduction;Difficult of reading;Crossed eye;Painful eye;Swollen eye lid;Rash over eye lid;Blisters over eye lid;Protrusion of eye ball;Nil;Other,,,,
3251662e-4b61-44ba-a296-8f227e9b01c5,,Nil,Nil,Nil,Misc,N/A,,,,,
