Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:24
8fa74f04-67b3-11ef-b558-325096b39f47,,Nitrate    (answer),Nitrate   ,,Misc,N/A,,,
8fa74f5e-67b3-11ef-b231-325096b39f47,,Bilirubin (answer) ,Bilirubin ,,Misc,N/A,,,
8fa74fa4-67b3-11ef-a4da-325096b39f47,,"WBC, Microscopy (answer)",WBC,,Misc,N/A,,,
8fa74fea-67b3-11ef-97dd-325096b39f47,,RBC (answer),RBC,,Misc,N/A,,,
8fa75044-67b3-11ef-acce-325096b39f47,,"Bacteria, RBC (answer)",Bacteria,,Misc,N/A,,,
8fa750b2-67b3-11ef-804d-325096b39f47,,"Casts, RBC (answer)",Casts,,Misc,N/A,,,
92c58638-67b3-11ef-94d5-325096b39f47,,"Others, RBC (answer)",Others,,Misc,N/A,,,
92c58890-67b3-11ef-9bd0-325096b39f47,,Urine  HCG (answer),Urine  HCG,,Misc,N/A,,,
aa37d2d1-73ba-4251-8724-105b41718b75,,Lazer T,Lazer T,The type of laser treatment used,Misc,N/A,,,
d556a3c3-fcca-4e92-9225-07174b513d46,,Laboratory Investigation,Laboratory Investigation,Laboratory tests requested,Question,Coded,"CBC (answer);Het/Hgb (answer);WBC, Hematology (answer);Neutrophils (answer);Lymphocytes (answer);Eosinophils (answer);Basophils (answer);ESR (answer);Morphology (answer);Blood group and RH (answer);Blood film  (answer);HBsAG (answer);HCV-AB (answer);VDRL (answer);Widal-H (answer);Widal-O (answer);Weill Flex (answer);H-pylori (answer);Rheumatoid Factor (RF) (answer);Serium Protein (answer);Serology for RVI (answer);ASO Test (answer);Gram Stain (answer);Wet Mount  (answer);AFB (answer);AFB 2x (answer);Stool Test (answer);H-Pylpri (answer);FBS (answer);RBS (answer);Uric Acid (answer);SGOT (answer);SGPT (answer);ALP (answer);BUN (answer);Creatinin (answer);LDL (answer);TG (answer);HDL (answer);Cholestrol(T) (answer);Bilirubin (T) (answer);Bilirubin (D) (answer);Total T3 (answer);Total T4 (answer);TSH (answer);FT3 (answer);FT4 (answer);Levk. (answer);ph (answer);SG (answer);protein (answer);Ketone (answer);Sugar (answer);Urobilinogen (answer);Nitrate    (answer);Bilirubin (answer);WBC, Microscopy (answer);RBC (answer);Bacteria, RBC (answer);Casts, RBC (answer);Others, RBC (answer);Urine  HCG (answer)",,
23cf8627-e679-44c7-b1d6-cde6f847ff82,,"Medication, Treatment plan Right Eye",Treatment plan,Treatment plan for the patient,Question,Coded,,,
