Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:35
e0ea029a-3f67-44bc-8b5e-09f4431e58f2,,ICD-11-WHO:9A96.0,Anterior uveitis not associated with systemic conditions (Eye diagnosis),Anterior uveitis not associated with systemic conditions - ICD-11-WHO:9A96.0,Anterior uveitis not associated with systemic conditions,Diagnosis,N/A,,,
490ea156-9c0a-46cb-a647-c7d1d72bbb17,,ICD-11-WHO:9A96.1,Anterior uveitis associated with systemic conditions (Eye diagnosis),Anterior uveitis associated with systemic conditions - ICD-11-WHO:9A96.1,Anterior uveitis associated with systemic conditions,Diagnosis,N/A,,,
29d5ca2d-7712-44d7-b3aa-c7968c470329,,ICD-11-WHO:9A96.2,Infection-associated anterior uveitis (Eye diagnosis),Infection-associated anterior uveitis - ICD-11-WHO:9A96.2,Infection-associated anterior uveitis,Diagnosis,N/A,,,
b70a2b21-0afa-427e-8b8c-e6e3ec165f3c,,ICD-11-WHO:9A96.3,Primary anterior uveitis (Eye diagnosis),Primary anterior uveitis - ICD-11-WHO:9A96.3,Primary anterior uveitis,Diagnosis,N/A,,,
f6846a29-44d6-4273-9cc4-80d94c32f18a,,ICD-11-WHO:9A96.Y,Other specified anterior uveitis (Eye diagnosis),Other specified anterior uveitis - ICD-11-WHO:9A96.Y,Other specified anterior uveitis,Diagnosis,N/A,,,
71679b28-9c5f-4f43-a1ba-baf90811fe7d,,ICD-11-WHO:9A96.Z,Anterior uveitis unspecified (Eye diagnosis),Anterior uveitis unspecified - ICD-11-WHO:9A96.Z,Anterior uveitis unspecified,Diagnosis,N/A,,,
d59c7594-11ab-4783-95e8-f5c2fc406a01,,ICD-11-WHO:9A9Y,Other specified disorders of the anterior uvea (Eye diagnosis),Other specified disorders of the anterior uvea - ICD-11-WHO:9A9Y,Other specified disorders of the anterior uvea,Diagnosis,N/A,,,
f2d4f72b-327e-4322-899e-cbec1cd677f2,,ICD-11-WHO:9A9Z,Disorders of the anterior uvea unspecified (Eye diagnosis),Disorders of the anterior uvea unspecified - ICD-11-WHO:9A9Z,Disorders of the anterior uvea unspecified,Diagnosis,N/A,,,
c69d1639-81d4-416b-b4ce-29956e01701f,,ICD-11-WHO:9B00,Disorders of the afferent pupillary system (Eye diagnosis),Disorders of the afferent pupillary system - ICD-11-WHO:9B00,Disorders of the afferent pupillary system,Diagnosis,N/A,,,
886e4e8d-04f6-49bb-9523-82a429a16e1e,,ICD-11-WHO:9B00.0,Relative afferent pupillary defects (Eye diagnosis),Relative afferent pupillary defects - ICD-11-WHO:9B00.0,Relative afferent pupillary defects,Diagnosis,N/A,,,
64019e29-1bc2-4f62-ae8c-2f5617e9a162,,ICD-11-WHO:9B00.1,Amaurotic pupillary reaction (Eye diagnosis),Amaurotic pupillary reaction - ICD-11-WHO:9B00.1,Amaurotic pupillary reaction,Diagnosis,N/A,,,
7853025f-9534-4052-b8c9-5b93245ca10a,,ICD-11-WHO:9B00.2,Paradoxical pupillary reaction to light or darkness (Eye diagnosis),Paradoxical pupillary reaction to light or darkness - ICD-11-WHO:9B00.2,Paradoxical pupillary reaction to light or darkness,Diagnosis,N/A,,,
d97726e2-bc34-450d-8034-01f2997b3662,,ICD-11-WHO:9B00.3,Wernicke pupils (Eye diagnosis),Wernicke pupils - ICD-11-WHO:9B00.3,Wernicke pupils,Diagnosis,N/A,,,
32a2e711-f3e1-4d72-bd6b-8573ed24647e,,ICD-11-WHO:9B00.Y,Other specified disorders of the afferent pupillary system (Eye diagnosis),Other specified disorders of the afferent pupillary system - ICD-11-WHO:9B00.Y,Other specified disorders of the afferent pupillary system,Diagnosis,N/A,,,
96e2946a-b05f-401c-a204-1adcf8503494,,ICD-11-WHO:9B00.Z,Disorders of the afferent pupillary system unspecified (Eye diagnosis),Disorders of the afferent pupillary system unspecified - ICD-11-WHO:9B00.Z,Disorders of the afferent pupillary system unspecified,Diagnosis,N/A,,,
a4384e66-99e4-4002-bfa9-e257e5c59a29,,ICD-11-WHO:9B01,Disorders of the efferent pupillary system (Eye diagnosis),Disorders of the efferent pupillary system - ICD-11-WHO:9B01,Disorders of the efferent pupillary system,Diagnosis,N/A,,,
759691d7-83e1-4d16-baf6-dfd09d3a668b,,ICD-11-WHO:9B01.1,Parasympathoparetic pupils (Eye diagnosis),Parasympathoparetic pupils - ICD-11-WHO:9B01.1,Parasympathoparetic pupils,Diagnosis,N/A,,,
40c8b74e-5e7c-4431-9dc4-b2e0871b3c8b,,ICD-11-WHO:9B01.2,Pharmacologic inhibition of the parasympathetic pathway (Eye diagnosis),Pharmacologic inhibition of the parasympathetic pathway - ICD-11-WHO:9B01.2,Pharmacologic inhibition of the parasympathetic pathway,Diagnosis,N/A,,,
c8a03863-7399-404b-8b36-ff2d77843798,,ICD-11-WHO:9B01.3,Iris sphincter disorders (Eye diagnosis),Iris sphincter disorders - ICD-11-WHO:9B01.3,Iris sphincter disorders,Diagnosis,N/A,,,
48f6d9ea-dc41-44d0-ae60-379cd7cf74f1,,ICD-11-WHO:9B01.4,Pharmacologic parasympathicotonic pupils (Eye diagnosis),Pharmacologic parasympathicotonic pupils - ICD-11-WHO:9B01.4,Pharmacologic parasympathicotonic pupils,Diagnosis,N/A,,,
7064d264-d49b-4ddb-b798-3eb3ac1e638b,,ICD-11-WHO:9B01.5,Pharmacologic sympathoparetic pupils (Eye diagnosis),Pharmacologic sympathoparetic pupils - ICD-11-WHO:9B01.5,Pharmacologic sympathoparetic pupils,Diagnosis,N/A,,,
e5007235-5892-40c6-9d12-dc5772c1c2a1,,ICD-11-WHO:9B01.6,Sympathotonic pupils (Eye diagnosis),Sympathotonic pupils - ICD-11-WHO:9B01.6,Sympathotonic pupils,Diagnosis,N/A,,,
7d86b17f-844a-4e54-95fb-c885b0e9962b,,ICD-11-WHO:9B01.7,Episodic unilateral mydriasis (Eye diagnosis),Episodic unilateral mydriasis - ICD-11-WHO:9B01.7,Episodic unilateral mydriasis,Diagnosis,N/A,,,
c7b9a151-82e5-4e02-a9a5-d43ca353f7f2,,ICD-11-WHO:9B01.Y,Other specified disorders of the efferent pupillary system (Eye diagnosis),Other specified disorders of the efferent pupillary system - ICD-11-WHO:9B01.Y,Other specified disorders of the efferent pupillary system,Diagnosis,N/A,,,
26aead49-f6c8-462e-a484-482099e3d41e,,ICD-11-WHO:9B01.Z,Disorders of the efferent pupillary system unspecified (Eye diagnosis),Disorders of the efferent pupillary system unspecified - ICD-11-WHO:9B01.Z,Disorders of the efferent pupillary system unspecified,Diagnosis,N/A,,,
ce177d36-39be-46a2-8b52-0019757667d5,,ICD-11-WHO:9B02,Light-near dissociations (Eye diagnosis),Light-near dissociations - ICD-11-WHO:9B02,Light-near dissociations,Diagnosis,N/A,,,
33b0838d-5435-4dca-914f-a9bde3f48486,,ICD-11-WHO:9B02.0,Argyll Robertson pupil (Eye diagnosis),Argyll Robertson pupil - ICD-11-WHO:9B02.0,Argyll Robertson pupil,Diagnosis,N/A,,,
256192ca-8a4c-4a11-b4cf-e10ed3e84049,,ICD-11-WHO:9B02.1,Pregeniculate light-near dissociations (Eye diagnosis),Pregeniculate light-near dissociations - ICD-11-WHO:9B02.1,Pregeniculate light-near dissociations,Diagnosis,N/A,,,
84080d36-03f8-48ca-bf9e-0a8e4657b742,,ICD-11-WHO:9B02.2,Mesencephalic light-near dissociations (Eye diagnosis),Mesencephalic light-near dissociations - ICD-11-WHO:9B02.2,Mesencephalic light-near dissociations,Diagnosis,N/A,,,
043d183b-458f-4b40-80bc-bb8ee3b763a7,,ICD-11-WHO:9B02.Y,Other specified light-near dissociations (Eye diagnosis),Other specified light-near dissociations - ICD-11-WHO:9B02.Y,Other specified light-near dissociations,Diagnosis,N/A,,,
22dec6f9-d786-40b6-9ae5-43a010045c9a,,ICD-11-WHO:9B02.Z,Light-near dissociations unspecified (Eye diagnosis),Light-near dissociations unspecified - ICD-11-WHO:9B02.Z,Light-near dissociations unspecified,Diagnosis,N/A,,,
fe5810c5-ea0e-4bd4-9ff6-6edcc7d0a38d,,ICD-11-WHO:9B0Y,Other specified functional disorders of the pupil (Eye diagnosis),Other specified functional disorders of the pupil - ICD-11-WHO:9B0Y,Other specified functional disorders of the pupil,Diagnosis,N/A,,,
6d071315-adf5-4084-9146-4890315b4974,,ICD-11-WHO:9B0Z,Functional disorders of the pupil unspecified (Eye diagnosis),Functional disorders of the pupil unspecified - ICD-11-WHO:9B0Z,Functional disorders of the pupil unspecified,Diagnosis,N/A,,,
03bc35b5-b9ce-4f01-b540-3b702fd1b416,,ICD-11-WHO:9B10.0,Age-related cataract (Eye diagnosis),Age-related cataract - ICD-11-WHO:9B10.0,Age-related cataract,Diagnosis,N/A,,,
696258ea-e7d3-4b38-a0db-9092bef1aa0f,,ICD-11-WHO:9B10.00,Coronary age-related cataract (Eye diagnosis),Coronary age-related cataract - ICD-11-WHO:9B10.00,Coronary age-related cataract,Diagnosis,N/A,,,
b5834633-bb38-42d2-8a2b-f14180f274af,,ICD-11-WHO:9B10.01,Punctate age-related cataract (Eye diagnosis),Punctate age-related cataract - ICD-11-WHO:9B10.01,Punctate age-related cataract,Diagnosis,N/A,,,
d04f35e5-8adb-4eb9-934d-e0c8eb6c5306,,ICD-11-WHO:9B10.02,Mature age-related cataract (Eye diagnosis),Mature age-related cataract - ICD-11-WHO:9B10.02,Mature age-related cataract,Diagnosis,N/A,,,
d3f808dc-cc41-48d3-8eea-9454b893af9b,,ICD-11-WHO:9B10.0Y,Other specified age-related cataract (Eye diagnosis),Other specified age-related cataract - ICD-11-WHO:9B10.0Y,Other specified age-related cataract,Diagnosis,N/A,,,
f40278c3-c0dd-4e8e-b3c8-7fde8a41cd5a,,ICD-11-WHO:9B10.0Z,Age-related cataract unspecified (Eye diagnosis),Age-related cataract unspecified - ICD-11-WHO:9B10.0Z,Age-related cataract unspecified,Diagnosis,N/A,,,
34af81f6-c802-4539-8438-fdb7ffd60658,,ICD-11-WHO:9B10.1,Infantile or juvenile cataract (Eye diagnosis),Infantile or juvenile cataract - ICD-11-WHO:9B10.1,Infantile or juvenile cataract,Diagnosis,N/A,,,
d7acba94-f05c-415f-8812-e40844b9ed36,,ICD-11-WHO:9B10.10,Combined forms of infantile and juvenile cataract (Eye diagnosis),Combined forms of infantile and juvenile cataract - ICD-11-WHO:9B10.10,Combined forms of infantile and juvenile cataract,Diagnosis,N/A,,,
d5533aad-71dd-4db4-83e9-3941a6411d47,,ICD-11-WHO:9B10.1Y,Other specified infantile or juvenile cataract (Eye diagnosis),Other specified infantile or juvenile cataract - ICD-11-WHO:9B10.1Y,Other specified infantile or juvenile cataract,Diagnosis,N/A,,,
cbfd6873-1196-46ea-9430-8864ad3809eb,,ICD-11-WHO:9B10.1Z,Infantile or juvenile cataract unspecified (Eye diagnosis),Infantile or juvenile cataract unspecified - ICD-11-WHO:9B10.1Z,Infantile or juvenile cataract unspecified,Diagnosis,N/A,,,
381c9e3c-77da-4b80-b123-b6976d1009b5,,ICD-11-WHO:9B10.2,Certain specified cataracts (Eye diagnosis),Certain specified cataracts - ICD-11-WHO:9B10.2,Certain specified cataracts,Diagnosis,N/A,,,
d9738f84-2e32-44bd-a6e4-94ff6a5984ad,,ICD-11-WHO:9B10.2Y,Other specified cataracts (Eye diagnosis),Other specified cataracts - ICD-11-WHO:9B10.2Y,Other specified cataracts,Diagnosis,N/A,,,
29694547-e223-4b90-ae72-a339006bbe3a,,ICD-11-WHO:9B10.Z,Cataract unspecified (Eye diagnosis),Cataract unspecified - ICD-11-WHO:9B10.Z,Cataract unspecified,Diagnosis,N/A,,,
0af218ce-8419-47b6-8084-59357def6400,,ICD-11-WHO:9B11,Certain specified disorders of lens (Eye diagnosis),Certain specified disorders of lens - ICD-11-WHO:9B11,Certain specified disorders of lens,Diagnosis,N/A,,,
d1f4049e-5fe1-4401-b927-5a161ba5eb96,,ICD-11-WHO:9B11.Y,Other disorders of lens (Eye diagnosis),Other disorders of lens - ICD-11-WHO:9B11.Y,Other disorders of lens,Diagnosis,N/A,,,
912a941f-b3ef-4e2d-916f-1b5d7a5d69b8,,ICD-11-WHO:9B1Z,Disorders of lens unspecified (Eye diagnosis),Disorders of lens unspecified - ICD-11-WHO:9B1Z,Disorders of lens unspecified,Diagnosis,N/A,,,
c0b7173e-ebb4-40d0-b760-865a422d4cf2,,ICD-11-WHO:9B3Y,Other specified disorders of the eyeball - anterior segment (Eye diagnosis),Other specified disorders of the eyeball - anterior segment - ICD-11-WHO:9B3Y,Other specified disorders of the eyeball - anterior segment,Diagnosis,N/A,,,
22a978d4-39b4-413d-b79b-ec9f2871b37d,,ICD-11-WHO:9B3Z,Disorders of the eyeball - anterior segment unspecified (Eye diagnosis),Disorders of the eyeball - anterior segment unspecified - ICD-11-WHO:9B3Z,Disorders of the eyeball - anterior segment unspecified,Diagnosis,N/A,,,
5a61a2d8-8e15-42f0-82c0-219403891133,,ICD-11-WHO:9B5Y,Other specified disorders of sclera (Eye diagnosis),Other specified disorders of sclera - ICD-11-WHO:9B5Y,Other specified disorders of sclera,Diagnosis,N/A,,,
